Feedback Type,Feedback Rating,Feedback Comments,Name,Timestamp
Criminal Profiling,2,More analysis needed to analyse the socio-behaviors of the criminals.,,
Criminal Profiling,2,More analysis needed to analyse the socio-economic behaviors of the criminals.,,
Crime Pattern Analysis,2,Also include heat maps,,
Crime Pattern Analysis,3,,,
Crime Pattern Analysis,3,More patterns needs to be shown,,
Crime Pattern Analysis,1,More patterns needs to be shown,,
,3,the app is working best,Ayush,2025-04-17 18:03:54.243244
,3,good,Ayush,2025-04-17 18:06:18.359064
,3,good,Ayush,2025-04-17 18:06:24.861057
Feature Request,3,can you add the feedback resend option to a personal email,Ayush,2025-04-17 18:10:55.560385
General Feedback,4,I am impressed by the working of the app,Fernandez,2025-04-17 18:16:00.228978
General Feedback,4,I am impressed by the working of the app,Fernandez,2025-04-17 18:16:05.029503
General Feedback,4,I am impressed,Fernandez,2025-04-17 18:17:31.968629
